Andorra,EU
United Arab Emirates,AS
Afghanistan,AS
Antigua and Barbuda,NA
Albania,EU
Armenia,AS
Angola,AF
Argentina,SA
American Samoa,OC
Austria,EU
Australia,OC
Aruba,NA
Azerbaijan,AS
Bosnia and Herzegovina,EU
Barbados,NA
Bangladesh,AS
Belgium,EU
Burkina Faso,AF
Bulgaria,EU
Bahrain,AS
Burundi,AF
Benin,AF
Bermuda,NA
Brunei,AS
Bolivia,SA
Brazil,SA
Bhutan,AS
Botswana,AF
Belarus,EU
Belize,NA
Canada,NA
Central African Republic,AF
Switzerland,EU
C�te d'Ivoire,AF
Chile,SA
Cameroon,AF
China,AS
Colombia,SA
Costa Rica,NA
Cuba,NA
Cabo Verde,AF
Cyprus,AS
Czech Republic,EU
Germany,EU
Djibouti,AF
Denmark,EU
Dominica,NA
Dominican Republic,NA
Algeria,AF
Ecuador,SA
Estonia,EU
Eritrea,AF
Spain,EU
Ethiopia,AF
European Union,EU
Finland,EU
Fiji,OC
Faeroe Islands,EU
France,EU
Gabon,AF
United Kingdom,EU
Grenada,NA
Georgia,AS
Ghana,AF
Greenland,NA
Guinea,AF
Equatorial Guinea,AF
Greece,EU
Guatemala,NA
Guam,OC
Guinea-Bissau,AF
Guyana,SA
Honduras,NA
Croatia,EU
Haiti,NA
Hungary,EU
Indonesia,AS
Ireland,EU
Israel,AS
Isle of Man,EU
India,AS
Iraq,AS
Iceland,EU
Italy,EU
Jamaica,NA
Jordan,AS
Japan,AS
Kenya,AF
Kyrgyz Republic,AS
Cambodia,AS
Kiribati,OC
Comoros,AF
St. Kitts and Nevis,NA
Kuwait,AS
Cayman Islands,NA
Kazakhstan,AS
Lao PDR,AS
Lebanon,AS
St. Lucia,NA
Liechtenstein,EU
Sri Lanka,AS
Liberia,AF
Lesotho,AF
Lithuania,EU
Luxembourg,EU
Latvia,EU
Libya,AF
Morocco,AF
Monaco,EU
Moldova,EU
Montenegro,EU
St. Martin (French part),NA
Madagascar,AF
Marshall Islands,OC
Mali,AF
Myanmar,AS
Mongolia,AS
Northern Mariana Islands,OC
Mauritania,AF
Malta,EU
Mauritius,AF
Maldives,AS
Malawi,AF
Mexico,NA
Malaysia,AS
Mozambique,AF
Namibia,AF
New Caledonia,OC
Niger,AF
Nigeria,AF
Nicaragua,NA
Netherlands,EU
Norway,EU
Nepal,AS
New Zealand,OC
Oman,AS
Panama,NA
Peru,SA
French Polynesia,OC
Papua New Guinea,OC
Philippines,AS
Pakistan,AS
Poland,EU
Puerto Rico,NA
West Bank and Gaza,AS
Portugal,EU
Palau,OC
Paraguay,SA
Qatar,AS
Romania,EU
Serbia,EU
Russia,EU
Rwanda,AF
Saudi Arabia,AS
Solomon Islands,OC
Seychelles,AF
Sudan,AF
Sweden,EU
Singapore,AS
Slovenia,EU
Slovak Republic,EU
Sierra Leone,AF
San Marino,EU
Senegal,AF
Somalia,AF
Suriname,SA
El Salvador,NA
Syrian Arab Republic,AS
Swaziland,AF
Turks and Caicos Islands,NA
Chad,AF
Togo,AF
Thailand,AS
Tajikistan,AS
Timor-Leste,AS
Turkmenistan,AS
Tunisia,AF
Tonga,OC
Turkey,EU
Trinidad and Tobago,NA
Tuvalu,OC
Tanzania,AF
Ukraine,EU
Uganda,AF
United States,NA
Uruguay,SA
Uzbekistan,AS
St. Vincent and the Grenadines,NA
Virgin Islands,NA
Vietnam,AS
Vanuatu,OC
Samoa,OC
South Africa,AF
Zambia,AF
Zimbabwe,AF
